DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17
09/12/2021,153173152532021NS059190,0001 - NACIONAL,Liquidação,Não se aplica,92.941.681/0001-00 - SECRETARIA DA EDUCACAO,RS,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,
09/12/2021,153173152532021OB826230,0001 - NACIONAL,Pagamento,Original,92.941.681/0001-00 - SECRETARIA DA EDUCACAO,RS,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"191.100,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,
24/12/2021,153173152532021NE653988,0001 - NACIONAL,Empenho,Não se aplica,84.012.012/0001-26 - ESTADO DE RORAIMA,RR,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"85.750,54",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,
01/12/2021,153173152532021NS056064,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,153173152532021NS056067,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,153173152532021NS056074,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,153173152532021OB824720,0001 - NACIONAL,Pagamento,Original,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"210.255,93",3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
29/12/2021,153173152532021NE653987,0001 - NACIONAL,Empenho,Não se aplica,00.394.676/0001-07 - SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,DF,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"5.000,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0007 - APOIO A INFRAESTRUTURA PARA A EDUCACAO INFANTIL,8100 - RELATOR GERAL,
01/12/2021,153173152532021NS056060,0001 - NACIONAL,Liquidação,Não se aplica,01.612.622/0001-33 - MUNICIPIO DE BETANIA DO PIAUI,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,153173152532021NS056062,0001 - NACIONAL,Liquidação,Não se aplica,12.367.892/0001-42 - MUNICIPIO DE CANAPI,AL,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
