web-scraper-order,web-scraper-start-url,detalhar,detalhar-href,baixado,sufixo_arquivo
1641496554-32,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=13700046&grupo=3&elemento=41&modalidade=40&orgaos=UG153173,1,0
1641496554-43,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=0509&programaGoverno=00&autor=8100&planoOrcamentario=10600115&grupo=4&elemento=42&modalidade=30&orgaos=UG153173,0,
1641496554-45,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=0E53&programaGoverno=00&autor=8100&planoOrcamentario=2400078&grupo=4&elemento=42&modalidade=40&orgaos=UG153173,1,1
1641496554-42,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=0509&programaGoverno=00&autor=8100&planoOrcamentario=10600115&grupo=3&elemento=41&modalidade=30&orgaos=UG153173,0,
1641496554-46,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=12600143&grupo=3&elemento=41&modalidade=30&orgaos=UG153173,1,2
1641496554-31,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=13700046&grupo=4&elemento=42&modalidade=40&orgaos=UG153173,1,3
1641496554-37,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=13700046&grupo=4&elemento=42&modalidade=30&orgaos=UG153173,1,4
1641496554-41,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=44100005&grupo=4&elemento=42&modalidade=30&orgaos=UG153173,1,5
1641496554-40,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=4000129&grupo=4&elemento=42&modalidade=30&orgaos=UG153173,1,6
1641496554-33,http://www.portaltransparencia.gov.br/despesas/orgao/consulta?paginacaoSimples=true&tamanhoPagina=&offset=&direcaoOrdenacao=asc&de=01%2F12%2F2021&ate=31%2F12%2F2021&orgaos=OR26298&autor=8100&colunasSelecionadas=linkDetalhamento%2CmesAno%2CorgaoSuperior%2CorgaoVinculado%2CunidadeGestora%2Cfuncao%2CsubFuncao%2Cprograma%2Cacao%2CprogramaGoverno%2Cautor%2CplanoOrcamentario%2CgrupoDespesa%2CelementoDespesa%2CmodalidadeDespesa%2CvalorDespesaEmpenhada%2CvalorDespesaLiquidada%2CvalorDespesaPaga%2CvalorRestoPago&ordenarPor=valorDespesaEmpenhada&direcao=desc,Detalhar,http://www.portaltransparencia.gov.br/despesas/favorecido?de=01/12/2021&ate=31/12/2021&funcaoSubfuncao=FN12&funcaoSubfuncao=SB368&programa=5011&acao=20RP&programaGoverno=00&autor=8100&planoOrcamentario=12600143&grupo=4&elemento=42&modalidade=40&orgaos=UG153173,1,7
