DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17
09/12/2021,175004000012021NE003469,0001 - NACIONAL,Empenho,Não se aplica,84.012.012/0001-26 - ESTADO DE RORAIMA,RR,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"57.467.911,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0000 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
31/12/2021,530001000012021NE001659,0001 - NACIONAL,Empenho,Não se aplica,00.360.305/0001-04 - CAIXA ECONOMICA FEDERAL,DF,MDR/SE/SAD/ADMINISTRACAO GERAL,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"78.301,00",4 - Investimentos,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,0000 - APOIO A REGULARIZACAO FUNDIARIA EM AREAS URBANAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027255,0001 - NACIONAL,Liquidação,Não se aplica,00.167.437/0001-14 - MUNICIPIO DE ITAUCU,GO,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027259,0001 - NACIONAL,Liquidação,Não se aplica,13.104.740/0001-10 - MUNICIPIO DE ITABAIANA,SE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027261,0001 - NACIONAL,Liquidação,Não se aplica,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027267,0001 - NACIONAL,Liquidação,Não se aplica,06.554.893/0001-01 - MUNICIPIO DE PIMENTEIRAS,PI,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
02/12/2021,175004000012021OB806028,0001 - NACIONAL,Pagamento,Original,00.167.437/0001-14 - MUNICIPIO DE ITAUCU,GO,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"604.448,18",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
02/12/2021,175004000012021OB806030,0001 - NACIONAL,Pagamento,Original,13.104.740/0001-10 - MUNICIPIO DE ITABAIANA,SE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"7.660.152,80",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
02/12/2021,175004000012021OB806031,0001 - NACIONAL,Pagamento,Original,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"765.613,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
02/12/2021,175004000012021OB806034,0001 - NACIONAL,Pagamento,Original,06.554.893/0001-01 - MUNICIPIO DE PIMENTEIRAS,PI,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"481.104,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
