DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17,cnpj,NOME FAVORECIDO,CÓDIGO MUNICÍPIO SIAFI,NOME MUNICÍPIO,UF,nome,uf,cod_ibge_7,id_municipio_tse,NM_UE,SG_UF,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_COMPOSICAO_COLIGACAO,NM_TIPO_ELEICAO,DT_ELEICAO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,DS_SITUACAO_CANDIDATO_PLEITO
09/12/2021,153173152532021NS059190,0001 - NACIONAL,Liquidação,Não se aplica,92.941.681/0001-00 - SECRETARIA DA EDUCACAO,RS,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,,92941681000100,SECRETARIA DA EDUCACAO,,,RS,,,,-1,,,,,,,,,,,
09/12/2021,153173152532021OB826230,0001 - NACIONAL,Pagamento,Original,92.941.681/0001-00 - SECRETARIA DA EDUCACAO,RS,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"191.100,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,,92941681000100,SECRETARIA DA EDUCACAO,,,RS,,,,-1,,,,,,,,,,,
24/12/2021,153173152532021NE653988,0001 - NACIONAL,Empenho,Não se aplica,84.012.012/0001-26 - ESTADO DE RORAIMA,RR,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"85.750,54",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0006 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - EQUIPAMENTO E MOBILIARIO,8100 - RELATOR GERAL,,84012012000126,ESTADO DE RORAIMA,301.0,BOA VISTA,RR,BOA VISTA,RR,1400100.0,3018,BOA VISTA,RR,ARTHUR HENRIQUE BRANDÃO MACHADO,ARTHUR HENRIQUE,MDB,MDB / PMB / AVANTE,ELEIÇÃO ORDINÁRIA,2020-11-29,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021NS056064,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,04332995000149,MUNICIPIO DE CAREIRO,223.0,CAREIRO,AM,CAREIRO,AM,1301100.0,2232,CAREIRO,AM,NATHAN MACENA DE SOUZA,NATHAN MACENA,REPUBLICANOS,REPUBLICANOS / MDB / PL / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021NS056067,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,04332995000149,MUNICIPIO DE CAREIRO,223.0,CAREIRO,AM,CAREIRO,AM,1301100.0,2232,CAREIRO,AM,NATHAN MACENA DE SOUZA,NATHAN MACENA,REPUBLICANOS,REPUBLICANOS / MDB / PL / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021NS056074,0001 - NACIONAL,Liquidação,Não se aplica,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,04332995000149,MUNICIPIO DE CAREIRO,223.0,CAREIRO,AM,CAREIRO,AM,1301100.0,2232,CAREIRO,AM,NATHAN MACENA DE SOUZA,NATHAN MACENA,REPUBLICANOS,REPUBLICANOS / MDB / PL / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021OB824720,0001 - NACIONAL,Pagamento,Original,04.332.995/0001-49 - MUNICIPIO DE CAREIRO,AM,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"210.255,93",3 - Outras Despesas Correntes,41 - Contribuições,40 - Transferências a Municípios,0000 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,04332995000149,MUNICIPIO DE CAREIRO,223.0,CAREIRO,AM,CAREIRO,AM,1301100.0,2232,CAREIRO,AM,NATHAN MACENA DE SOUZA,NATHAN MACENA,REPUBLICANOS,REPUBLICANOS / MDB / PL / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
29/12/2021,153173152532021NE653987,0001 - NACIONAL,Empenho,Não se aplica,00.394.676/0001-07 - SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,DF,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"5.000,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0007 - APOIO A INFRAESTRUTURA PARA A EDUCACAO INFANTIL,8100 - RELATOR GERAL,,00394676000107,SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,,,DF,,,,-1,,,,,,,,,,,
01/12/2021,153173152532021NS056060,0001 - NACIONAL,Liquidação,Não se aplica,01.612.622/0001-33 - MUNICIPIO DE BETANIA DO PIAUI,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,01612622000133,MUNICIPIO DE BETANIA DO PIAUI,278.0,BETANIA DO PIAUI,PI,BETANIA DO PIAUI,PI,2201739.0,12122,BETÂNIA DO PIAUÍ,PI,FABIO DE CARVALHO MACEDO,FABIO MACEDO,PP,PP,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021NS056062,0001 - NACIONAL,Liquidação,Não se aplica,12.367.892/0001-42 - MUNICIPIO DE CANAPI,AL,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,12367892000142,MUNICIPIO DE CANAPI,2731.0,CANAPI,AL,CANAPI,AL,2701605.0,27316,CANAPI,AL,VINÍCIUS JOSÉ MARIANO DE LIMA,VINÍCIUS FILHO DE ZÉ HERMES,PP,PP / DEM,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
