DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17,cnpj,NOME FAVORECIDO,CÓDIGO MUNICÍPIO SIAFI,NOME MUNICÍPIO,UF,nome,uf,cod_ibge_7,id_municipio_tse,NM_UE,SG_UF,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_COMPOSICAO_COLIGACAO,NM_TIPO_ELEICAO,DT_ELEICAO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,DS_SITUACAO_CANDIDATO_PLEITO
09/12/2021,175004000012021NE003469,0001 - NACIONAL,Empenho,Não se aplica,84.012.012/0001-26 - ESTADO DE RORAIMA,RR,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"57.467.911,00",4 - Investimentos,42 - Auxílios,30 - Transferências a Estados e ao Distrito Federal,0000 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,84012012000126,ESTADO DE RORAIMA,301.0,BOA VISTA,RR,BOA VISTA,RR,1400100.0,3018.0,BOA VISTA,RR,ARTHUR HENRIQUE BRANDÃO MACHADO,ARTHUR HENRIQUE,MDB,MDB / PMB / AVANTE,ELEIÇÃO ORDINÁRIA,2020-11-29,APTO,DEFERIDO,DEFERIDO
31/12/2021,530001000012021NE001659,0001 - NACIONAL,Empenho,Não se aplica,00.360.305/0001-04 - CAIXA ECONOMICA FEDERAL,DF,MDR/SE/SAD/ADMINISTRACAO GERAL,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"78.301,00",4 - Investimentos,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,0000 - APOIO A REGULARIZACAO FUNDIARIA EM AREAS URBANAS,8100 - RELATOR GERAL,,00360305000104,CAIXA ECONOMICA FEDERAL,9701.0,BRASILIA,DF,BRASILIA,DF,5300108.0,97012.0,,,,,,,,,,,
01/12/2021,175004000012021NS027255,0001 - NACIONAL,Liquidação,Não se aplica,00.167.437/0001-14 - MUNICIPIO DE ITAUCU,GO,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,00167437000114,MUNICIPIO DE ITAUCU,9423.0,ITAUCU,GO,ITAUCU,GO,5211404.0,94234.0,ITAUÇU,GO,CLAYTON PEREIRA DE MELO,CLEITON MELO,DEM,DEM / PP / CIDADANIA / AVANTE / PODE / REPUBLICANOS,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,175004000012021NS027259,0001 - NACIONAL,Liquidação,Não se aplica,13.104.740/0001-10 - MUNICIPIO DE ITABAIANA,SE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,13104740000110,MUNICIPIO DE ITABAIANA,3157.0,ITABAIANA,SE,ITABAIANA,SE,2802908.0,31577.0,ITABAIANA,SE,ADAILTON RESENDE SOUSA,ADAILTON SOUSA,PL,PSC / REPUBLICANOS / PL / DEM / PV / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,175004000012021NS027261,0001 - NACIONAL,Liquidação,Não se aplica,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,16930299000113,MUNICIPIO DE JOAO PINHEIRO,4725.0,JOAO PINHEIRO,MG,JOAO PINHEIRO,MG,3136306.0,47252.0,JOÃO PINHEIRO,MG,EDMAR XAVIER MACIEL,EDINHO,PDT,PDT / PP / PL / PTC / AVANTE / SOLIDARIEDADE / MDB / DEM / PATRIOTA / PROS,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,175004000012021NS027267,0001 - NACIONAL,Liquidação,Não se aplica,06.554.893/0001-01 - MUNICIPIO DE PIMENTEIRAS,PI,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,06554893000101,MUNICIPIO DE PIMENTEIRAS,1161.0,PIMENTEIRAS,PI,PIMENTEIRAS,PI,2208106.0,11614.0,PIMENTEIRAS,PI,MARIA LUCIA DE LACERDA,LUCIA LACERDA,PTB,PTB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
02/12/2021,175004000012021OB806028,0001 - NACIONAL,Pagamento,Original,00.167.437/0001-14 - MUNICIPIO DE ITAUCU,GO,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"604.448,18",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,00167437000114,MUNICIPIO DE ITAUCU,9423.0,ITAUCU,GO,ITAUCU,GO,5211404.0,94234.0,ITAUÇU,GO,CLAYTON PEREIRA DE MELO,CLEITON MELO,DEM,DEM / PP / CIDADANIA / AVANTE / PODE / REPUBLICANOS,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
02/12/2021,175004000012021OB806030,0001 - NACIONAL,Pagamento,Original,13.104.740/0001-10 - MUNICIPIO DE ITABAIANA,SE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"7.660.152,80",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,13104740000110,MUNICIPIO DE ITABAIANA,3157.0,ITABAIANA,SE,ITABAIANA,SE,2802908.0,31577.0,ITABAIANA,SE,ADAILTON RESENDE SOUSA,ADAILTON SOUSA,PL,PSC / REPUBLICANOS / PL / DEM / PV / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
02/12/2021,175004000012021OB806031,0001 - NACIONAL,Pagamento,Original,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"765.613,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,16930299000113,MUNICIPIO DE JOAO PINHEIRO,4725.0,JOAO PINHEIRO,MG,JOAO PINHEIRO,MG,3136306.0,47252.0,JOÃO PINHEIRO,MG,EDMAR XAVIER MACIEL,EDINHO,PDT,PDT / PP / PL / PTC / AVANTE / SOLIDARIEDADE / MDB / DEM / PATRIOTA / PROS,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
02/12/2021,175004000012021OB806034,0001 - NACIONAL,Pagamento,Original,06.554.893/0001-01 - MUNICIPIO DE PIMENTEIRAS,PI,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"481.104,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,,06554893000101,MUNICIPIO DE PIMENTEIRAS,1161.0,PIMENTEIRAS,PI,PIMENTEIRAS,PI,2208106.0,11614.0,PIMENTEIRAS,PI,MARIA LUCIA DE LACERDA,LUCIA LACERDA,PTB,PTB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
